Rarity,ID
1,00727
2,00593
3,01003
4,00542
5,00967
6,00556
7,01001
8,01000
9,01002
10,00489
11,00574
12,00637
13,00785
14,00384
15,00829
16,00935
17,00390
18,00773
19,00930
20,00566
21,00768
22,00568
23,00705
24,00549
25,00937
26,00750
27,00748
28,00857
29,00941
30,00644
31,00922
32,00703
33,00381
34,00886
35,00982
36,00501
37,00880
38,00442
39,00667
40,00732
41,00858
42,00928
43,00461
44,00993
45,00767
46,00780
47,00999
48,00934
49,00794
50,00810
51,00815
52,00512
53,00892
54,00610
55,00479
56,00823
57,00878
58,00562
59,00618
60,00580
61,00789
62,00565
63,00587
64,00803
65,00357
66,00488
67,00708
68,00634
69,00656
70,00537
71,00779
72,00452
73,00596
74,00504
75,00884
76,00812
77,00642
78,00455
79,00467
80,00760
81,00720
82,00422
83,00387
84,00842
85,00872
86,00572
87,00871
88,00539
89,00438
90,00784
91,00398
92,00882
93,00778
94,00382
95,00957
96,00964
97,00744
98,00743
99,00881
100,00576
101,00761
102,00816
103,00399
104,00624
105,00896
106,00855
107,00714
108,00940
109,00782
110,00347
111,00869
112,00513
113,00907
114,00801
115,00380
116,00759
117,00670
118,00655
119,00570
120,00480
121,00777
122,00493
123,00730
124,00969
125,00361
126,00952
127,00764
128,00447
129,00774
130,00510
131,00643
132,00985
133,00958
134,00924
135,00711
136,00538
137,00517
138,00739
139,00798
140,00523
141,00851
142,00699
143,00736
144,00375
145,00965
146,00441
147,00616
148,00839
149,00887
150,00787
151,00788
152,00496
153,00586
154,00431
155,00360
156,00597
157,00505
158,00462
159,00758
160,00337
161,00458
162,00400
163,00558
164,00883
165,00604
166,00978
167,00336
168,00475
169,00918
170,00721
171,00737
172,00625
173,00428
174,00383
175,00725
176,00960
177,00824
178,00753
179,00970
180,00697
181,00647
182,00746
183,00914
184,00691
185,00338
186,00807
187,00735
188,00391
189,00712
190,00408
191,00646
192,00433
193,00926
194,00559
195,00603
196,00804
197,00560
198,00649
199,00893
200,00511
201,00867
202,00396
203,00373
204,00471
205,00828
206,00484
207,00664
208,00685
209,00457
210,00397
211,00707
212,00684
213,00659
214,00617
215,00628
216,00334
217,00622
218,00953
219,00912
220,00419
221,00850
222,00409
223,00689
224,00910
225,00838
226,00443
227,00540
228,00836
229,00348
230,00548
231,00370
232,00389
233,00766
234,00430
235,00888
236,00343
237,00987
238,00371
239,00403
240,00862
241,00706
242,00729
243,00818
244,00639
245,00440
246,00660
247,00530
248,00762
249,00894
250,00345
251,00605
252,00799
253,00424
254,00555
255,00897
256,00482
257,00546
258,00961
259,00364
260,00752
261,00895
262,00938
263,00919
264,00715
265,00814
266,00791
267,00909
268,00809
269,00346
270,00522
271,00342
272,00666
273,00635
274,00465
275,00623
276,00802
277,00451
278,00653
279,00997
280,00446
281,00350
282,00368
283,00629
284,00645
285,00459
286,00731
287,00975
288,00420
289,00790
290,00414
291,00514
292,00405
293,00528
294,00672
295,00436
296,00908
297,00770
298,00973
299,00921
300,00473
301,00980
302,00611
303,00620
304,00677
305,00432
306,00805
307,00577
308,00657
309,00460
310,00376
311,00906
312,00638
313,00765
314,00377
315,00658
316,00849
317,00395
318,00601
319,00834
320,00931
321,00741
322,00352
323,00971
324,00497
325,00772
326,00833
327,00717
328,00879
329,00477
330,00668
331,00868
332,00450
333,00531
334,00595
335,00942
336,00627
337,00401
338,00900
339,00984
340,00547
341,00590
342,00889
343,00563
344,00847
345,00573
346,00339
347,00929
348,00901
349,00933
350,00588
351,00444
352,00695
353,00503
354,00591
355,00534
356,00571
357,00575
358,00811
359,00641
360,00552
361,00797
362,00515
363,00913
364,00355
365,00854
366,00874
367,00742
368,00340
369,00418
370,00943
371,00979
372,00483
373,00569
374,00385
375,00796
376,00749
377,00356
378,00388
379,00434
380,00890
381,00464
382,00966
383,00946
384,00722
385,00716
386,00939
387,00553
388,00954
389,00704
390,00835
391,00845
392,00710
393,00775
394,00861
395,00936
396,00986
397,00448
398,00853
399,00870
400,00598
401,00822
402,00485
403,00550
404,00663
405,00899
406,00491
407,00955
408,00726
409,00846
410,00406
411,00487
412,00507
413,00676
414,00606
415,00891
416,00902
417,00354
418,00694
419,00698
420,00492
421,00518
422,00994
423,00600
424,00826
425,00341
426,00783
427,00763
428,00554
429,00945
430,00974
431,00669
432,00636
433,00335
434,00724
435,00417
436,00541
437,00427
438,00474
439,00701
440,00543
441,00786
442,00561
443,00609
444,00583
445,00962
446,00747
447,00795
448,00631
449,00947
450,00661
451,00470
452,00680
453,00800
454,00877
455,00898
456,00533
457,00679
458,00557
459,00579
460,00578
461,00407
462,00734
463,00362
464,00950
465,00751
466,00344
467,00602
468,00476
469,00990
470,00412
471,00917
472,00688
473,00358
474,00820
475,00469
476,00754
477,00840
478,00671
479,00495
480,00506
481,00728
482,00592
483,00615
484,00793
485,00915
486,00648
487,00692
488,00905
489,00486
490,00481
491,00394
492,00885
493,00864
494,00916
495,00393
496,00996
497,00944
498,00386
499,00402
500,00718
501,00991
502,00536
503,00959
504,00582
505,00589
506,00709
507,00372
508,00423
509,00564
510,00478
511,00374
512,00662
513,00968
514,00825
515,00453
516,00363
517,00630
518,00863
519,00502
520,00359
521,00673
522,00594
523,00367
524,00551
525,00445
526,00607
527,00435
528,00415
529,00948
530,00567
531,00687
532,00410
533,00411
534,00686
535,00581
536,00769
537,00781
538,00925
539,00425
540,00830
541,00693
542,00665
543,00923
544,00526
545,00776
546,00463
547,00859
548,00413
549,00651
550,00632
551,00713
552,00911
553,00771
554,00832
555,00468
556,00525
557,00856
558,00612
559,00977
560,00983
561,00614
562,00696
563,00683
564,00738
565,00852
566,00972
567,00472
568,00995
569,00490
570,00723
571,00545
572,00865
573,00806
574,00449
575,00813
576,00421
577,00353
578,00860
579,00456
580,00351
581,00499
582,00992
583,00584
584,00500
585,00652
586,00817
587,00755
588,00951
589,00756
590,00365
591,00675
592,00519
593,00404
594,00998
595,00981
596,00827
597,00544
598,00989
599,00654
600,00819
601,00494
602,00678
603,00757
604,00529
605,00702
606,00524
607,00369
608,00520
609,00821
610,00903
611,00498
612,00650
613,00866
614,00429
615,00963
616,00956
617,00379
618,00873
619,00733
620,00585
621,00454
622,00466
623,00700
624,00521
625,00366
626,00349
627,00626
628,00527
629,00792
630,00516
631,00843
632,00416
633,00690
634,00719
635,00508
636,00439
637,00599
638,00682
639,00613
640,00633
641,00932
642,00841
643,00640
644,00875
645,00426
646,00976
647,00848
648,00535
649,00392
650,00378
651,00437
652,00608
653,00844
654,00619
655,00674
656,00831
657,00949
658,00681
659,00927
660,00920
661,00808
662,00837
663,00621
664,00509
665,00745
666,00904
667,00876
668,00988
669,00532
670,00740