Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670
Basketball,22,3.28%,30.45454545,,,670
Birch Sticks,1,0.15%,670,,,670
Candy Cane,13,1.94%,51.53846154,,,670
Christmas Mug,42,6.27%,15.95238095,,,670
Cigarette,42,6.27%,15.95238095,,,670
Cocktail,30,4.48%,22.33333333,,,670
Coconut,32,4.78%,20.9375,,,670
Cupcake,26,3.88%,25.76923077,,,670
Digital Wine,1,0.15%,670,,,670
Dragon Ball,18,2.69%,37.22222222,,,670
Flame,30,4.48%,22.33333333,,,670
Fork and Knife,3,0.45%,223.3333333,,,670
Golden Katana,1,0.15%,670,,,670
Katana,50,7.46%,13.4,,,670
Necronomicon,31,4.63%,21.61290323,,,670
Old Timey Christmas Book,1,0.15%,670,,,670
Red Wine,39,5.82%,17.17948718,,,670
Snowball,33,4.93%,20.3030303,,,670
Spiked Bat,40,5.97%,16.75,,,670
Spirit Gun,30,4.48%,22.33333333,,,670
Tie Dye Wine,47,7.01%,14.25531915,,,670
Trident,35,5.22%,19.14285714,,,670
White Wine,49,7.31%,13.67346939,,,670
Wolverine,54,8.06%,12.40740741,,,670