Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Anime Blue,1,0.30%,333,,,333
Barney,21,6.31%,15.85714286,,,333
Blue,31,9.31%,10.74193548,,,333
Blue Surfer,25,7.51%,13.32,,,333
Burgundy,19,5.71%,17.52631579,,,333
Burning Red,28,8.41%,11.89285714,,,333
Camo Blue,1,0.30%,333,,,333
Dark,18,5.41%,18.5,,,333
Dark Blue,15,4.50%,22.2,,,333
Fire,1,0.30%,333,,,333
Gold,3,0.90%,111,,,333
Gold Shimmer,1,0.30%,333,,,333
Green,15,4.50%,22.2,,,333
Investigative Blue,1,0.30%,333,,,333
Orange,22,6.61%,15.13636364,,,333
Pink,14,4.20%,23.78571429,,,333
Purple,31,9.31%,10.74193548,,,333
Red,17,5.11%,19.58823529,,,333
Sea Form,20,6.01%,16.65,,,333
Silver,13,3.90%,25.61538462,,,333
Wizard Purple,1,0.30%,333,,,333
Yellow,22,6.61%,15.13636364,,,333
Zombie Green,13,3.90%,25.61538462,,,333